0
         1.55 : {'trueAccept': 127, 'falseAccept': 122, 'trueReject': 78, 'falseReject': 73}
         1.6 : {'trueAccept': 121, 'falseAccept': 115, 'trueReject': 85, 'falseReject': 79}
         1.65 : {'trueAccept': 113, 'falseAccept': 105, 'trueReject': 95, 'falseReject': 87}
         1.7 : {'trueAccept': 105, 'falseAccept': 99, 'trueReject': 101, 'falseReject': 95}
         1.75 : {'trueAccept': 97, 'falseAccept': 93, 'trueReject': 107, 'falseReject': 103}
         1.8 : {'trueAccept': 88, 'falseAccept': 82, 'trueReject': 118, 'falseReject': 112}
         1.85 : {'trueAccept': 76, 'falseAccept': 74, 'trueReject': 126, 'falseReject': 124}
         1.9 : {'trueAccept': 71, 'falseAccept': 72, 'trueReject': 128, 'falseReject': 129}
         1.95 : {'trueAccept': 60, 'falseAccept': 65, 'trueReject': 135, 'falseReject': 140}
         2.0 : {'trueAccept': 51, 'falseAccept': 61, 'trueReject': 139, 'falseReject': 149}
         2.05 : {'trueAccept': 44, 'falseAccept': 51, 'trueReject': 149, 'falseReject': 156}
         2.1 : {'trueAccept': 39, 'falseAccept': 44, 'trueReject': 156, 'falseReject': 161}
         2.15 : {'trueAccept': 36, 'falseAccept': 38, 'trueReject': 162, 'falseReject': 164}
         2.2 : {'trueAccept': 30, 'falseAccept': 37, 'trueReject': 163, 'falseReject': 170}
         2.25 : {'trueAccept': 21, 'falseAccept': 36, 'trueReject': 164, 'falseReject': 179}
         2.3 : {'trueAccept': 21, 'falseAccept': 30, 'trueReject': 170, 'falseReject': 179}
         2.35 : {'trueAccept': 17, 'falseAccept': 28, 'trueReject': 172, 'falseReject': 183}
         2.4 : {'trueAccept': 15, 'falseAccept': 26, 'trueReject': 174, 'falseReject': 185}
         2.45 : {'trueAccept': 12, 'falseAccept': 19, 'trueReject': 181, 'falseReject': 188}
         2.5 : {'trueAccept': 11, 'falseAccept': 18, 'trueReject': 182, 'falseReject': 189}
         2.55 : {'trueAccept': 11, 'falseAccept': 16, 'trueReject': 184, 'falseReject': 189}
         2.6 : {'trueAccept': 9, 'falseAccept': 14, 'trueReject': 186, 'falseReject': 191}
         2.65 : {'trueAccept': 7, 'falseAccept': 12, 'trueReject': 188, 'falseReject': 193}
         2.7 : {'trueAccept': 6, 'falseAccept': 10, 'trueReject': 190, 'falseReject': 194}
         2.75 : {'trueAccept': 4, 'falseAccept': 10, 'trueReject': 190, 'falseReject': 196}
         2.8 : {'trueAccept': 3, 'falseAccept': 10, 'trueReject': 190, 'falseReject': 197}
         2.85 : {'trueAccept': 2, 'falseAccept': 9, 'trueReject': 191, 'falseReject': 198}
         2.9 : {'trueAccept': 2, 'falseAccept': 9, 'trueReject': 191, 'falseReject': 198}
         2.95 : {'trueAccept': 2, 'falseAccept': 8, 'trueReject': 192, 'falseReject': 198}
         3.0 : {'trueAccept': 2, 'falseAccept': 8, 'trueReject': 192, 'falseReject': 198}
         3.05 : {'trueAccept': 1, 'falseAccept': 7, 'trueReject': 193, 'falseReject': 199}
         3.1 : {'trueAccept': 1, 'falseAccept': 7, 'trueReject': 193, 'falseReject': 199}
         3.15 : {'trueAccept': 1, 'falseAccept': 6, 'trueReject': 194, 'falseReject': 199}
         3.2 : {'trueAccept': 1, 'falseAccept': 6, 'trueReject': 194, 'falseReject': 199}
         3.25 : {'trueAccept': 1, 'falseAccept': 6, 'trueReject': 194, 'falseReject': 199}
         3.3 : {'trueAccept': 1, 'falseAccept': 6, 'trueReject': 194, 'falseReject': 199}
         3.35 : {'trueAccept': 1, 'falseAccept': 5, 'trueReject': 195, 'falseReject': 199}
         3.4 : {'trueAccept': 1, 'falseAccept': 4, 'trueReject': 196, 'falseReject': 199}
         3.45 : {'trueAccept': 1, 'falseAccept': 3, 'trueReject': 197, 'falseReject': 199}
         3.5 : {'trueAccept': 1, 'falseAccept': 2, 'trueReject': 198, 'falseReject': 199}
         3.55 : {'trueAccept': 1, 'falseAccept': 2, 'trueReject': 198, 'falseReject': 199}
         3.6 : {'trueAccept': 1, 'falseAccept': 2, 'trueReject': 198, 'falseReject': 199}
         3.65 : {'trueAccept': 1, 'falseAccept': 2, 'trueReject': 198, 'falseReject': 199}
         3.7 : {'trueAccept': 1, 'falseAccept': 2, 'trueReject': 198, 'falseReject': 199}
         3.75 : {'trueAccept': 1, 'falseAccept': 2, 'trueReject': 198, 'falseReject': 199}
         3.8 : {'trueAccept': 1, 'falseAccept': 2, 'trueReject': 198, 'falseReject': 199}
         3.85 : {'trueAccept': 1, 'falseAccept': 1, 'trueReject': 199, 'falseReject': 199}
         3.9 : {'trueAccept': 1, 'falseAccept': 1, 'trueReject': 199, 'falseReject': 199}
         3.95 : {'trueAccept': 1, 'falseAccept': 0, 'trueReject': 200, 'falseReject': 199}
4
         0.75 : {'trueAccept': 199, 'falseAccept': 196, 'trueReject': 4, 'falseReject': 1}
         0.8 : {'trueAccept': 199, 'falseAccept': 194, 'trueReject': 6, 'falseReject': 1}
         0.85 : {'trueAccept': 198, 'falseAccept': 192, 'trueReject': 8, 'falseReject': 2}
         0.9 : {'trueAccept': 197, 'falseAccept': 190, 'trueReject': 10, 'falseReject': 3}
         0.95 : {'trueAccept': 196, 'falseAccept': 183, 'trueReject': 17, 'falseReject': 4}
         1.0 : {'trueAccept': 193, 'falseAccept': 177, 'trueReject': 23, 'falseReject': 7}
         1.05 : {'trueAccept': 190, 'falseAccept': 169, 'trueReject': 31, 'falseReject': 10}
         1.1 : {'trueAccept': 186, 'falseAccept': 165, 'trueReject': 35, 'falseReject': 14}
         1.15 : {'trueAccept': 179, 'falseAccept': 161, 'trueReject': 39, 'falseReject': 21}
         1.2 : {'trueAccept': 174, 'falseAccept': 155, 'trueReject': 45, 'falseReject': 26}
         1.25 : {'trueAccept': 170, 'falseAccept': 145, 'trueReject': 55, 'falseReject': 30}
         1.3 : {'trueAccept': 166, 'falseAccept': 138, 'trueReject': 62, 'falseReject': 34}
         1.35 : {'trueAccept': 157, 'falseAccept': 134, 'trueReject': 66, 'falseReject': 43}
         1.4 : {'trueAccept': 150, 'falseAccept': 125, 'trueReject': 75, 'falseReject': 50}
         1.45 : {'trueAccept': 140, 'falseAccept': 114, 'trueReject': 86, 'falseReject': 60}
         1.5 : {'trueAccept': 131, 'falseAccept': 111, 'trueReject': 89, 'falseReject': 69}
         1.55 : {'trueAccept': 123, 'falseAccept': 99, 'trueReject': 101, 'falseReject': 77}
         1.6 : {'trueAccept': 115, 'falseAccept': 90, 'trueReject': 110, 'falseReject': 85}
         1.65 : {'trueAccept': 106, 'falseAccept': 80, 'trueReject': 120, 'falseReject': 94}
         1.7 : {'trueAccept': 90, 'falseAccept': 73, 'trueReject': 127, 'falseReject': 110}
         1.75 : {'trueAccept': 82, 'falseAccept': 61, 'trueReject': 139, 'falseReject': 118}
         1.8 : {'trueAccept': 74, 'falseAccept': 59, 'trueReject': 141, 'falseReject': 126}
         1.85 : {'trueAccept': 68, 'falseAccept': 54, 'trueReject': 146, 'falseReject': 132}
         1.9 : {'trueAccept': 64, 'falseAccept': 48, 'trueReject': 152, 'falseReject': 136}
         1.95 : {'trueAccept': 57, 'falseAccept': 41, 'trueReject': 159, 'falseReject': 143}
